Species,Rank,Factor Score,Average Catches,Average OFL,Average OFL Attainment,Average ACL,Average ACL Attainment,Management Group
Quillback rockfish,1,10,21.6,10.9,1.98,8.8,2.45,minor nearshore rockfish
Stripetail rockfish,2,9,67.7,64,1.06,50.5,1.34,minor shelf rockfish
Squarespot rockfish,3,7,7.6,9,0.84,7.2,1.06,minor shelf rockfish
Widow rockfish,3,7,10621.3,13675,0.78,12763.6,0.83,species specific
Black rockfish,5,5,806.5,1252,0.64,1139.6,0.71,species specific
China rockfish,5,5,26,46.4,0.56,38.4,0.68,minor nearshore rockfish
Petrale sole,5,5,2775,3728,0.74,3478,0.8,species specific
Redbanded rockfish,5,5,37.9,55.7,0.68,43.9,0.86,minor slope rockfish
Sablefish,5,5,5599,9860.4,0.57,3433.2,1.63,species specific
Starry rockfish,5,5,34.7,62.6,0.55,49.4,0.7,minor shelf rockfish
Aurora rockfish,11,3,27.6,91.8,0.3,83.7,0.33,minor slope rockfish
Blue/Deacon rockfish,11,3,163,466.2,0.35,398.6,0.41,minor nearshore rockfish
Bocaccio,11,3,588.3,2258.4,0.26,2054.7,0.29,species specific
California scorpionfish,11,3,113.1,304.6,0.37,277.4,0.41,species specific
Canary rockfish,11,3,620,1445.6,0.43,1329.4,0.47,species specific
Chilipepper,11,3,946.8,2648,0.36,2436.8,0.39,species specific
Copper rockfish,11,3,85.5,226.2,0.38,190.7,0.45,minor nearshore rockfish
Darkblotched rockfish,11,3,332.2,891.6,0.37,826,0.4,species specific
Flathead sole,11,3,16.2,35,0.46,21.7,0.75,other flatfish
Greenspotted rockfish,11,3,45.1,93.8,0.48,76.3,0.59,minor shelf rockfish
Longnose skate,11,3,606.7,2108.8,0.29,1790.4,0.34,species specific
Rosethorn rockfish,11,3,7,15,0.47,11.8,0.59,minor shelf rockfish
Rougheye/Blackspotted rockfish,11,3,103.8,235,0.44,196.5,0.53,minor slope rockfish
Shortraker rockfish,11,3,6.2,18.8,0.33,14.8,0.42,minor slope rockfish
Silvergray rockfish,11,3,58.8,159.9,0.37,126.2,0.47,minor shelf rockfish
Yelloweye rockfish,11,3,25.7,92.1,0.28,51.1,0.5,species specific
Yellowtail rockfish,11,3,3379.4,7282.8,0.46,6604.8,0.51,species specific
Big skate,28,2,162,1374,0.12,1189.4,0.14,species specific
Blackgill rockfish,28,2,46.5,203.5,0.23,174.1,0.27,minor slope rockfish
Cabezon,28,2,92.1,426.1,0.22,242.7,0.38,other groundfish
Kelp greenling,28,2,42.5,279.5,0.15,240.4,0.18,other groundfish
Lingcod,28,2,1186.2,6142.2,0.19,5538.2,0.21,species specific
Pacific spiny dogfish,28,2,455.5,2242.8,0.2,1625.6,0.28,species specific
Redstripe rockfish,28,2,44.4,270.4,0.16,213.4,0.21,minor shelf rockfish
Rex sole,28,2,370.4,2222.7,0.17,1554.2,0.24,other flatfish
Sharpchin rockfish,28,2,46.6,374.3,0.12,313.4,0.15,minor slope rockfish
Shortspine thornyhead,28,2,529.3,3161.4,0.17,0,Inf,species specific
Splitnose rockfish,28,2,205,1013.2,0.2,911.3,0.22,minor slope rockfish
Yellowmouth rockfish,28,2,27.3,193.3,0.14,152.5,0.18,minor slope rockfish
Arrowtooth flounder,40,1,806,17494.2,0.05,12790.2,0.06,species specific
Bank rockfish,40,1,37,520.4,0.07,410.7,0.09,minor slope rockfish
Cowcod,40,1,9.2,106.1,0.09,0.4,21.89,minor shelf rockfish
Dover sole,40,1,4372.2,78565.6,0.06,50000,0.09,species specific
English sole,40,1,240.6,11125.2,0.02,9277.8,0.03,species specific
Greenstriped rockfish,40,1,52.7,1016.5,0.05,838.5,0.06,minor shelf rockfish
Longspine thornyhead,40,1,98.7,4577,0.02,0,Inf,species specific
Pacific cod,40,1,38.8,3200,0.01,1600,0.02,species specific
Pacific ocean perch,40,1,440,4376.2,0.1,3762,0.12,species specific
Pacific sanddab,40,1,107.6,4801,0.02,2978.5,0.04,other flatfish
Vermilion/Sunset rockfish,40,1,0,300.9,0,253.8,0,minor shelf rockfish
