species,functional_groups,prop_consumption_raw,prop_consumption_scaled,prop_consumer_bio_raw,prop_consumer_bio_scaled
arrowtooth flounder,,0.051627904,4.038346903,0.003205307,0.157950498
aurora rockfish,Arrowtooth flounder,3.75E-06,0.000292964,8.18E-05,0.004031757
bank rockfish,slope rockfish,3.19E-06,0.000249888,6.98E-05,0.003438949
big skate,slope rockfish,0.004148973,0.324533653,0.000638507,0.031464227
black rockfish,skates,0.008140754,0.636771739,0.00121039,0.059645367
blackgill rockfish,Black rockfish,4.39E-06,0.000343274,9.59E-05,0.004724118
blue rockfish,slope rockfish,0.000805165,0.062980208,0.000416181,0.020508511
bocaccio,nearshore rockfish,0.005563642,0.435189365,0.001051075,0.051794649
brown rockfish,shelf rockfish,0.000187741,0.014685133,9.70E-05,0.004781982
cabezon,nearshore rockfish,0.0019338,0.151262282,0.000178898,0.008815724
California scorpionfish,lingcod,0.002092462,0.163672911,0.002478251,0.122122794
canary rockfish,NA,0.000233991,0.018302793,0.000779016,0.038388183
chilipepper,Canary Rockfish,0.006954732,0.544000793,0.001313877,0.064744988
China rockfish,shelf rockfish,0.000284365,0.022243109,5.37E-05,0.002647294
copper rockfish,shelf rockfish,0.000335593,0.026250139,0.000173464,0.008547944
cowcod,nearshore rockfish,9.88E-06,0.000772774,5.11E-06,0.000251642
curlfin sole,nearshore rockfish,3.44E-07,2.69E-05,1.21E-05,0.000597254
darkblotched rockfish,flatfish,3.60E-05,0.002816202,0.000786489,0.038756458
Dover sole,slope rockfish,0.000766698,0.059971278,0.027027756,1.331868567
English sole,flatfish,3.24E-05,0.002537353,0.00114353,0.056350664
flag rockfish,flatfish,9.64E-05,0.007542335,1.82E-05,0.000897661
flathead sole,shelf rockfish,2.81E-06,0.000219744,9.90E-05,0.004880162
gopher rockfish,flatfish,0.001017815,0.079613746,0.000192284,0.009475337
grass rockfish,shelf rockfish,2.26E-05,0.001766534,1.17E-05,0.000575244
greenspotted rockfish,nearshore rockfish,3.54E-05,0.00277279,1.83E-05,0.000902915
greenstriped rockfish,nearshore rockfish,0.00020146,0.015758277,0.00076197,0.037548231
honeycomb rockfish,Greenstriped rockfish,3.74E-05,0.002923131,7.06E-06,0.0003479
kelp greenling,shelf rockfish,7.50E-05,0.00586706,3.88E-05,0.001910516
kelp rockfish,nearshore rockfish,8.71E-06,0.000681642,4.50E-06,0.000221966
leopard shark,nearshore rockfish,0.004146702,0.324356045,0.000210746,0.010385097
lingcod,,0.027579799,2.157298404,0.002551445,0.125729606
longnose skate,Lingcod,0.015815657,1.237104414,0.002433954,0.119939903
longspine thornyhead,skates,0.000200823,0.015708411,0.003014843,0.148564869
olive rockfish,Longspine thornyhead,9.91E-05,0.007749116,5.12E-05,0.002523377
Pacific cod,nearshore rockfish,0.002092462,0.163672911,0.002478251,0.122122794
Pacific ocean perch,NA,0.000148165,0.011589477,0.000916559,0.045166021
Pacific sanddab,Pacific Ocean Perch,1.91E-05,0.0014921,0.000672457,0.033137214
Pacific spiny dogfish,flatfish,0.089791111,7.023481955,0.006559144,0.323220235
petrale sole,dogfish,0.006352388,0.496885275,0.002207521,0.108781802
quillback rockfish,Petrale sole,5.34E-05,0.004174103,2.76E-05,0.001359231
redbanded rockfish,nearshore rockfish,4.56E-06,0.000356392,9.95E-05,0.004904649
redstripe rockfish,slope rockfish,8.34E-05,0.006525844,4.31E-05,0.002125038
rex sole,,6.37E-05,0.004980872,0.002244771,0.110617394
rock sole,flatfish,4.68E-07,3.66E-05,1.65E-05,0.000813223
rosethorn rockfish,flatfish,0.000245294,0.019186949,4.63E-05,0.002283561
rosy rockfish,,2.48E-05,0.001938661,1.28E-05,0.000631294
rougheye rockfish,,3.77E-05,0.002947022,0.000823023,0.040556793
sablefish,slope rockfish,0.085250123,6.668284843,0.00807099,0.397720693
sand sole,Sablefish,4.17E-06,0.000326004,0.000146923,0.007240044
sharpchin rockfish,flatfish,2.48E-06,0.000194342,5.43E-05,0.002674529
shortraker rockfish,slope rockfish,1.05E-06,8.23E-05,2.30E-05,0.001132324
shortspine thornyhead,slope rockfish,0.012987158,1.015858604,0.010064614,0.495962112
silvergray rockfish,Shortspine thornyhead,0.000816271,0.063848947,0.000154209,0.007599069
speckled rockfish,,9.17E-05,0.007172099,1.73E-05,0.000853597
splitnose rockfish,shelf rockfish,1.99E-05,0.001554526,0.00263892,0.130040186
squarespot rockfish,Splitnose Rockfish,0.000187943,0.014700972,3.55E-05,0.001749656
starry flounder,shelf rockfish,1.37E-06,0.000106907,4.82E-05,0.002374246
starry rockfish,flatfish,0.000416497,0.032578456,7.87E-05,0.003877369
stripetail rockfish,shelf rockfish,0.000906406,0.070899314,0.000171237,0.008438177
treefish,,2.19E-05,0.001709831,1.13E-05,0.000556779
vermilion rockfish,nearshore rockfish,0.004424257,0.346066438,0.000835824,0.041187564
widow rockfish,shelf rockfish,0.00342568,0.267957528,0.005176645,0.255093719
yelloweye rockfish,Widow Rockfish,0.001057722,0.08273528,7.60E-05,0.003746264
yellowmouth rockfish,Yelloweye rockfish,2.36E-06,0.000184963,5.17E-05,0.002545448
yellowtail rockfish,,0.01543201,1.20709551,0.005408653,0.266526559
,Yellowtail Rockfish,,,,
