"Species","Rank","Factor_Score","Choke_Stock_Score","Commerical_Importance_Score","Recreational_Importance_Score","Projected_ACL_Attainment"
"arrowtooth flounder",29,1,0,1,0,8
"aurora rockfish",29,1,0,1,0,41
"bank rockfish",29,1,0,1,0,9
"big skate",29,1,0,1,0,15
"black rockfish",7,4,4,0,0,102
"blackgill rockfish",54,0,0,0,0,29
"blue and deacon rockfish",54,0,0,0,0,53
"bocaccio",29,1,0,1,0,27
"brown rockfish",29,1,1,0,0,74
"cabezon",54,0,0,0,0,24
"California scorpionfish",29,1,0,1,0,46
"canary rockfish",5,5,4,1,0,111
"chilipepper",54,0,0,0,0,24
"China rockfish",21,2,1,1,0,73
"copper rockfish",13,3,3,0,0,95
"cowcod",29,1,0,1,0,8
"curlfin sole",29,1,0,1,0,58
"darkblotched rockfish",54,0,0,0,0,47
"Dover sole",54,0,0,0,0,11
"English sole",29,1,0,1,0,3
"flag rockfish",29,1,0,1,0,40
"flathead sole",13,3,2,1,0,88
"gopher and black and yellow rockfish",29,1,1,0,0,76
"grass rockfish",54,0,0,0,0,25
"greenspotted rockfish",29,1,0,1,0,15
"greenstriped rockfish",13,3,0,3,0,8
"honeycomb rockfish",54,0,0,0,0,38
"kelp greenling",29,1,0,0,1,10
"kelp rockfish",29,1,0,1,0,22
"leopard shark",29,1,0,1,0,21
"lingcod",29,1,0,1,0,29
"longnose skate",54,0,0,0,0,41
"longspine thornyhead",29,1,0,1,0,8
"olive rockfish",29,1,0,1,0,26
"Pacific cod",29,1,0,1,0,3
"Pacific ocean perch",54,0,0,0,0,13
"Pacific sanddab",21,2,0,2,0,4
"Pacific spiny dogfish",13,3,1,2,0,72
"petrale sole",7,4,4,0,0,116
"quillback rockfish",5,5,5,0,0,532
"redbanded rockfish",1,6,4,2,0,103
"redstripe rockfish",29,1,0,1,0,21
"rex sole",54,0,0,0,0,10
"rock sole",13,3,0,3,0,8
"rosethorn rockfish",1,6,5,1,0,127
"rosy rockfish",29,1,0,1,0,29
"rougheye and black spotted rockfish",7,4,2,2,0,83
"sablefish",21,2,0,1,1,15
"sand sole",13,3,0,2,1,5
"sharpchin rockfish",21,2,0,2,0,15
"shortraker rockfish",13,3,0,3,0,62
"shortspine thornyhead",21,2,2,0,0,81
"silvergray rockfish",21,2,0,2,0,46
"speckled rockfish",29,1,0,1,0,23
"splitnose rockfish",54,0,0,0,0,9
"squarespot rockfish",1,6,5,1,0,258
"starry flounder",29,1,0,1,0,3
"starry rockfish",21,2,1,1,0,77
"stripetail rockfish",1,6,5,1,0,135
"treefish",7,4,3,1,0,98
"vermilion and sunset rockfish",7,4,4,0,0,122
"widow rockfish",13,3,3,0,0,92
"yelloweye rockfish",7,4,0,3,1,43
"yellowmouth rockfish",21,2,0,2,0,17
"yellowtail rockfish",29,1,0,1,0,49
