"Species","Commercial_Importance_Modifier","CW","C","O","W","TWL","NTWL"
"arrowtooth flounder",1,0.562,0.286,0.697,0.44,0.704,0.172
"aurora rockfish",1,0.343,0.381,0.393,0.268,0.5,0.406
"bank rockfish",1,0.438,0.604,0.178,0.147,0.611,0.484
"big skate",1,0.594,0.413,0.732,0.585,0.722,0.421
"black rockfish",0,0.89,0.825,0.893,0.244,0.148,0.952
"blackgill rockfish",0,0.641,0.714,0.286,0.171,0.593,0.749
"blue and deacon rockfish",0,0.624,0.699,0.607,0,0.074,0.812
"bocaccio",1,0.812,0.873,0.464,0.512,0.833,0.781
"brown rockfish",0,0.765,0.841,0.125,0,0.111,0.89
"cabezon",0,0.844,0.858,0.84,0,0,0.922
"California scorpionfish",1,0.375,0.508,0,0,0.129,0.578
"canary rockfish",1,0.797,0.778,0.803,0.781,0.815,0.765
"chilipepper",0,0.859,0.905,0.5,0.122,0.889,0.734
"China rockfish",1,0.609,0.587,0.715,0,0,0.797
"copper rockfish",0,0.656,0.731,0.518,0,0.167,0.844
"cowcod",1,0.031,0.175,0.036,0,0.24,0
"curlfin sole",1,0.063,0.206,0.054,0,0.26,0.14
"darkblotched rockfish",0,0.672,0.54,0.751,0.61,0.759,0.499
"Dover sole",0,0.952,0.953,0.947,0.903,0.962,0.343
"English sole",1,0.546,0.524,0.661,0.561,0.685,0.359
"flag rockfish",1,0.047,0.223,0,0,0.056,0.235
"flathead sole",1,0.156,0,0.339,0,0.371,0.031
"gopher and black and yellow rockfish",0,0.875,0.937,0.215,0,0,0.937
"grass rockfish",0,0.719,0.81,0.268,0,0,0.875
"greenspotted rockfish",1,0.406,0.556,0.197,0.049,0.296,0.624
"greenstriped rockfish",3,0.188,0.254,0.322,0.293,0.351,0.296
"honeycomb rockfish",0,0,0.096,0,0,0,0.11
"kelp greenling",0,0.687,0.619,0.768,0,0.018,0.859
"kelp rockfish",1,0.25,0.397,0,0,0,0.469
"leopard shark",1,0.218,0.381,0,0,0.185,0.453
"lingcod",1,0.922,0.921,0.911,0.878,0.907,0.969
"longnose skate",0,0.781,0.651,0.857,0.756,0.851,0.609
"longspine thornyhead",1,0.703,0.762,0.679,0.415,0.74,0.719
"olive rockfish",1,0.313,0.429,0.071,0,0.037,0.516
"Pacific cod",1,0.516,0.191,0.411,0.853,0.667,0.25
"Pacific ocean perch",0,0.734,0.111,0.822,0.805,0.778,0.125
"Pacific sanddab",2,0.578,0.683,0.554,0,0.648,0.672
"Pacific spiny dogfish",2,0.125,0.27,0.161,0.219,0.222,0.313
"petrale sole",0,0.984,0.968,0.964,0.952,1,0.562
"quillback rockfish",0,0.499,0.571,0.536,0.073,0.093,0.703
"redbanded rockfish",2,0.484,0.445,0.59,0.683,0.444,0.656
"redstripe rockfish",1,0.266,0,0.429,0.366,0.463,0.015
"rex sole",0,0.749,0.667,0.786,0.634,0.796,0.078
"rock sole",3,0.093,0.238,0.107,0.195,0.278,0.218
"rosethorn rockfish",1,0.281,0.143,0.303,0.537,0.482,0.188
"rosy rockfish",1,0.14,0.333,0.018,0,0,0.391
"rougheye and black spotted rockfish",2,0.531,0.302,0.644,0.732,0.555,0.687
"sablefish",1,1,1,1,1,0.944,1
"sand sole",2,0.421,0.492,0.09,0.659,0.537,0.531
"sharpchin rockfish",2,0.172,0.016,0.375,0.318,0.407,0.047
"shortraker rockfish",3,0.235,0.079,0.357,0.463,0.389,0.328
"shortspine thornyhead",0,0.937,0.985,0.876,0.83,0.871,0.984
"silvergray rockfish",2,0.469,0.032,0.625,0.707,0.629,0.281
"speckled rockfish",1,0.203,0.35,0,0,0,0.438
"splitnose rockfish",0,0.391,0.317,0.483,0.488,0.574,0.093
"squarespot rockfish",1,0.015,0.159,0,0,0,0.156
"starry flounder",1,0.328,0.46,0.143,0.097,0.518,0.203
"starry rockfish",1,0.359,0.477,0,0,0,0.546
"stripetail rockfish",1,0.078,0.127,0.251,0.025,0.333,0.063
"treefish",1,0.453,0.635,0,0,0,0.656
"vermilion and sunset rockfish",0,0.827,0.889,0.571,0,0.315,0.906
"widow rockfish",0,0.969,0.794,0.983,0.975,0.982,0.594
"yelloweye rockfish",3,0.11,0.063,0.232,0.39,0.204,0.266
"yellowmouth rockfish",2,0.296,0.048,0.447,0.341,0.426,0.375
"yellowtail rockfish",1,0.906,0.746,0.929,0.927,0.926,0.827
