Species,Estimate,Target,MSST,PSA,Trend,Recruit_Var,Mean_Catch_Age,Mean_Max_Age,Last_Assess
arrowtooth flounder,0.87,0.25,0.125,1.21,0,0.8,8.05,25,2017
aurora rockfish,0.64,0.4,0.25,2.1,0,0.5,31.13,154,2013
bank rockfish,,0.4,0.25,2.02,0,NA,NA,85,NA
big skate,0.79,0.4,0.25,1.99,0,0,4.3,12,2019
black rockfish,0.43,0.4,0.25,1.94,0,0.6,8.106041717,28,2023
blackgill rockfish,0.39,0.4,0.25,2.08,0,0.5,30.184,86,2017
blue and deacon rockfish,0.42,0.4,0.25,2.01,0,0.5,9.286696402,39.5,2017
bocaccio,0.49,0.4,0.25,1.93,0,1,2.97,30,2017
brown rockfish,0.43,0.4,0.25,1.99,0,NA,NA,39,2013
cabezon,0.6,0.4,0.25,1.48,0,0.5,4.7,23,2019
California scorpionfish,0.54,0.4,0.25,1.41,0,0.6,7,23,2017
canary rockfish,0.57,0.4,0.25,2.01,0,0.5,9.6,69,2023
chilipepper,0.69,0.4,0.25,1.35,0,1,9.149,34,2015
China rockfish,0.46,0.4,0.25,2.23,0,0.5,19.34570281,77,2015
copper rockfish,0.59,0.4,0.25,2.27,0,0.275,9.153838109,50,2023
cowcod,0.57,0.4,0.25,2.13,0,0,16,61,2019
curlfin sole,,0.25,0.125,1.23,0,NA,NA,10,NA
darkblotched rockfish,0.4,0.4,0.25,1.92,0,0.75,9.361,100,2017
Dover sole,0.84,0.25,0.125,1.54,0,0.35,13.7,50,2021
English sole,0.88,0.25,0.125,1.19,0,NA,NA,21,2013
flag rockfish,,0.4,0.25,1.97,0,NA,NA,38,NA
flathead sole,,0.25,0.125,1.03,0,NA,NA,27,NA
gopher and black and yellow rockfish,0.44,0.4,0.25,1.73,0,0.5,11.8,28,2019
grass rockfish,,0.4,0.25,1.89,0,NA,NA,23,NA
greenspotted rockfish,0.35,0.4,0.25,1.98,0,0.7,19.216,83,2011
greenstriped rockfish,0.81,0.4,0.25,1.88,0,0.84,16.8,68,2009
honeycomb rockfish,,0.4,0.25,1.97,0,NA,NA,31,NA
kelp greenling,0.81,0.4,0.25,1.56,0,0.65,4.25,15,2015
kelp rockfish,,0.4,0.25,1.59,0,NA,NA,20,NA
leopard shark,,0.4,0.25,2,0,NA,NA,30,NA
lingcod,0.49,0.4,0.25,1.55,0,0.6,5.34027687,22.5,2021
longnose skate,0.57,0.4,0.25,1.68,0,0,10.1,25,2019
longspine thornyhead,0.75,0.4,0.25,1.53,0,0.6,15.27,49,2013
olive rockfish,,0.4,0.25,1.87,0,NA,NA,30,NA
Pacific cod,,0.4,0.25,1.34,0,NA,NA,25,NA
Pacific ocean perch,0.77,0.4,0.25,1.69,0,0.7,15.5,100,2017
Pacific sanddab,,0.25,0.125,1.25,0,NA,NA,9,NA
Pacific spiny dogfish,0.63,0.4,0.25,2.13,0,0,22.4,83,2021
petrale sole,0.39,0.25,0.125,1.94,0,0.5,7.7,38,2023
quillback rockfish,,0.4,0.25,2.22,-1,0.4,12.98123864,95,2021
redbanded rockfish,,0.4,0.25,2.02,0,NA,NA,106,NA
redstripe rockfish,,0.4,0.25,2.16,0,NA,NA,55,NA
rex sole,0.8,0.25,0.125,1.28,0,0.5,8.6,29,2023
rock sole,,0.25,0.125,1.42,0,NA,NA,26,NA
rosethorn rockfish,,0.4,0.25,2.09,0,NA,NA,87,NA
rosy rockfish,,0.4,0.25,1.89,0,NA,NA,30,NA
rougheye and blackspotted rockfish,0.47,0.4,0.25,2.27,0,0.4,32.51,129,2013
sablefish,0.39,0.4,0.25,1.64,0,1.4,9.4,76,2023
sand sole,,0.25,0.125,1.23,0,NA,NA,17,NA
sharpchin rockfish,0.68,0.4,0.25,2.05,0,0.8,13.32,68,2013
shortraker rockfish,,0.4,0.25,2.25,0,NA,NA,157,NA
shortspine thornyhead,0.74,0.4,0.25,1.8,0,0.5,24.7,135,2023
silvergray rockfish,,0.4,0.25,2.2,0,NA,NA,82,NA
speckled rockfish,,0.4,0.25,2.1,0,NA,NA,37,NA
splitnose rockfish,0.66,0.4,0.25,1.82,0,1,15.91,112,2009
squarespot rockfish,,0.4,0.25,1.86,0,0,11.6,41,2021
starry flounder,,0.4,0.25,1.02,0,NA,NA,42,NA
starry rockfish,,0.4,0.25,2.09,0,NA,NA,32,NA
stripetail rockfish,,0.4,0.25,1.8,0,NA,NA,38,NA
treefish,,0.4,0.25,1.73,0,NA,NA,25,NA
vermilion and sunset rockfish,,0.4,0.25,2.05,0,0.55,7.402489191,59,2021
widow rockfish,0.92,0.4,0.25,2.05,0,0.6,10,37,2019
yelloweye rockfish,0.28,0.4,0.25,2,1,0.5,19.8,123,2017
yellowmouth rockfish,,0.4,0.25,1.96,0,NA,NA,99,NA
yellowtail rockfish,0.75,0.4,0.25,1.88,0,0.4997,12.3,31,2017
