"Species","Recruit_Var","Mean_Catch_Age","Mean_Max_Age","Last_Assess","SSC_Rec","h"
"arrowtooth flounder",0.8,8.05,25,2017,"",0.902
"aurora rockfish",0.5,31.13,154,2013,"",0.779
"bank rockfish",NA,NA,85,NA,"",NA
"big skate",0,4.3,12,2019,"Update",0.4
"black rockfish",0.6,8.10604171726986,28,2023,"Update/Full",0.72
"blackgill rockfish",0.5,30.184,86,2017,"Update",0.718
"blue and deacon rockfish",0.5,9.28669640189855,39.5,2017,"Update",0.644599
"bocaccio",1,2.97,30,2017,"Update",0.718
"brown rockfish",NA,NA,39,2013,"",NA
"cabezon",0.5,4.7,23,2019,"",0.7
"California scorpionfish",0.6,7,23,2017,"Update",0.718
"canary rockfish",0.5,9.6,69,2023,"Update",0.72
"chilipepper",1,9.149,34,2015,"Update",0.57
"China rockfish",0.5,19.34570281,77,2015,"",0.773
"copper rockfish",0.275,9.15383810906705,50,2023,"",0.72
"cowcod",0,16,61,2019,"Update",0.72
"curlfin sole",NA,NA,10,NA,"",NA
"darkblotched rockfish",0.75,9.361,100,2017,"Update",0.72
"Dover sole",0.35,13.7,50,2021,"Update",0.8
"English sole",NA,NA,21,2013,"",NA
"flag rockfish",NA,NA,38,NA,"",NA
"flathead sole",NA,NA,27,NA,"",NA
"gopher and black and yellow rockfish",0.5,11.8,28,2019,"Update",0.72
"grass rockfish",NA,NA,23,NA,"",NA
"greenspotted rockfish",0.7,19.216,83,2011,"",0.76
"greenstriped rockfish",0.84,16.8,68,2009,"",0.692
"honeycomb rockfish",NA,NA,31,NA,"",NA
"kelp greenling",0.65,4.25,15,2015,"Update",0.7
"kelp rockfish",NA,NA,20,NA,"",NA
"leopard shark",NA,NA,30,NA,"",NA
"lingcod",0.6,5.34027687022758,22.5,2021,"",0.80139
"longnose skate",0,10.1,25,2019,"Update",0.4
"longspine thornyhead",0.6,15.27,49,2013,"",0.6
"olive rockfish",NA,NA,30,NA,"",NA
"Pacific cod",NA,NA,25,NA,"",NA
"Pacific ocean perch",0.7,15.5,100,2017,"",0.5
"Pacific sanddab",NA,NA,9,NA,"",NA
"Pacific spiny dogfish",0,22.4,83,2021,"",0.4
"petrale sole",0.5,7.7,38,2023,"Update",0.8
"quillback rockfish",0.4,12.9812386358916,95,2021,"",0.72
"redbanded rockfish",NA,NA,106,NA,"",NA
"redstripe rockfish",NA,NA,55,NA,"",NA
"rex sole",0.5,8.6,29,2023,"",0.7
"rock sole",NA,NA,26,NA,"",NA
"rosethorn rockfish",NA,NA,87,NA,"",NA
"rosy rockfish",NA,NA,30,NA,"",NA
"rougheye and black spotted rockfish",0.4,32.51,129,2013,"",0.779
"sablefish",1.4,9.4,76,2023,"",0.7
"sand sole",NA,NA,17,NA,"",NA
"sharpchin rockfish",0.8,13.32,68,2013,"",NA
"shortraker rockfish",NA,NA,157,NA,"",NA
"shortspine thornyhead",0.5,24.7,135,2023,"Update",0.72
"silvergray rockfish",NA,NA,82,NA,"",NA
"speckled rockfish",NA,NA,37,NA,"",NA
"splitnose rockfish",1,15.91,112,2009,"",0.58
"squarespot rockfish",0,11.6,41,2021,"",0.72
"starry flounder",NA,NA,42,NA,"",NA
"starry rockfish",NA,NA,32,NA,"",NA
"stripetail rockfish",NA,NA,38,NA,"",NA
"treefish",NA,NA,25,NA,"",NA
"vermilion and sunset rockfish",0.55,7.40248919079286,59,2021,"",0.72
"widow rockfish",0.6,10,37,2019,"Full",0.72
"yelloweye rockfish",0.5,19.8,123,2017,"Update",0.718
"yellowmouth rockfish",NA,NA,99,NA,"",NA
"yellowtail rockfish",0.4997,12.3,31,2017,"Update",0.718
